,Product Name,Product type,Product catogary,Product THC,Product OZ,Product Price,Product Image,Product Detail
0,Bubba Punch Ground Flower 7g,Curaleaf,Indica,THC: 10%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Bubba Punch Ground Flower 7g.jpg,"Curaleaf cannabis is conveniently packaged in a 0.25 oz container. THCA varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average does for this product is 3mg, two times per day. Cost is based on average dosing for this product- 30-day supply is $16, a 50- day supply is $27, and a 70- day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70- day supply cost is based on average doses and may not apply to all patients."
1,Lady Madonna Ground Flower,Curaleaf,Hybrid,THC: 11%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Lady Madonna Ground Flower.jpg, 
2,Strawberry Diesel Ground Flower,Curaleaf,Hybrid,THC: 12.2%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Strawberry Diesel Ground Flower.jpg, 
3,Jelly Rancher Mini Buds Flower,Curaleaf,Hybrid,THC: 12.7%,1/8 oz -,$12.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Jelly Rancher Mini Buds Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 0.125 oz container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
4,Lilac Diesel Tier 1 Flower,Curaleaf,Hybrid,THC: 12.73%  |  CBD: 0.05%,1/8 oz -,$15.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Lilac Diesel Tier 1 Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 3.5g container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
5,Afghani Tier 1 Flower,Curaleaf,Indica,THC: 13.2%,1/8 oz -,$15.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Afghani Tier 1 Flower.jpg,"Afghani is one of the most well-known marijuana strains in the world. The high is deeply relaxed, with a strong euphoria and mood boost. Afghani has a pungent earthy aroma and a sweet peppery taste with light floral undertones; it is the perfect end to a stressful day to help relax both your mind and body so you are better equipped to conquer tomorrow."
6,GMO Tang Ground Flower,Curaleaf,Sativa,THC: 13.2%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/GMO Tang Ground Flower.jpg,"This convenient and ready to use Curaleaf ground flower provide patients with the same full plant benefits as the cannabis flower and can be used directly into any smoking device or any other form of consumption. Curaleaf cannabis ground flower is conveniently packaged in a 0.250 oz container. THC content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with a smoking route of administration. The average dose for this product is 5mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $2.10, a 50-day supply is $3.50, and a 70-day supply is $4.90. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients."
7,Rosetta Stone XX Ground Flower -7g,Curaleaf,Sativa,THC: 13.3%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Rosetta Stone XX Ground Flower -7g.jpg,"This convenient and ready to use Curaleaf ground flower provide patients with the same full plant benefits as the cannabis flower and can be used directly into any smoking device or any other form of consumption. Curaleaf cannabis ground flower is conveniently packaged in a 0.250 oz container. THC content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with a smoking route of administration. The average dose for this product is 5mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $2.10, a 50-day supply is $3.50, and a 70-day supply is $4.90. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients."
8,Fog Dog Ground Flower 7g,Curaleaf,Hybrid,THC: 13.4%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Fog Dog Ground Flower 7g.jpg,"Curaleaf cannabis is conveniently packaged in a 0.125 oz container. THCA varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average does for this product is 3mg, two times per day. Cost is based on average dosing for this product- 30-day supply is $16, a 50- day supply is $27, and a 70- day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70- day supply cost is based on average doses and may not apply to all patients."
9,Lilac Diesel Tier 2 Flower,Curaleaf,Hybrid,THC: 14.5%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Lilac Diesel Tier 2 Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 3.5g container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
