,Names,Phone
0,The Tigers Kitchen,07947072185
1,Rishi Vegetarian Dhaba,07947390160
2,Grand Oriental,07947451866
3,Sher-E-Punjab,07947217182
4,Shama Chicken Dhaba,07947481369
5,Lalan Top Restaurant,07947223335
6,Baba Chicken Restaurant,07942597609
7,I Cibo 1889,07942597769
8,Sindh Punjab Dhaba,07942597769
9,DK DIET & CHICKEN CORNER,07947242403
10,DK DIET & CHICKEN CORNER,07947443852
11,Sargi Bar & Restaurant,07947443852
12,Hungry Mouth,07947242098
13,Hungry Mouth,+(91)-0161-4661466
14,Shakes & Slice,+(91)-0161-4661466
15,"+ Click here to view your friends rating @ Get 30% off on Large, ..more",07947363892
16,Bon Gateau The European Bak..,07947205565
17,Chawla Chicken Restaurant,07947392041
18,Rishi Vegetarian Dhaba,07947072185
19,  ,07947481369
20,Pyramid Cafeloungebar,07947242078
21,The Tigers Kitchen,07947242078
22,The Tigers Kitchen,07947184575
23,FFF (above 2000) Lalan Top Restaurant,07947205565
24,Sindh Punjab Dhaba,07947390160
25,Wish Barbeque,07942597769
26,Pyramid Cafeloungebar,07947242098
27,Rishi Vegetarian Dhaba,07947392041
28,DK DIET & CHICKEN CORNER,+(91)-0161-4661466
29,Shakes & Slice,+(91)-9056490049
30,Grand Oriental,07947363892
31,The Tigers Kitchen,07947363892
32,Bon Gateau The European Bak..,07947451866
33,Parkash Dhaba,07942597609
34,Rishi Vegetarian Dhaba,07942597609
35,Rishi Vegetarian Dhaba,07947223335
36,Sher-E-Punjab,07947217182
37,Il Cibo 1889,07947378430
38,Il Cibo 1889,07947378430
39,Baba Chicken Restaurant,07947443196
40,Shama Chicken Dhaba,+(91)-9097390001
41,Chawla Chicken Restaurant,+(91)-9097390001
42,K.k Restrurant,+(91)-6239282398
43,K.k Restrurant,+(91)-7889127122
44,New Delhi Darbar,+(91)-9814367474
45,The Yard Lounge & Bar,+(91)-9501111737
46,The Yard Lounge & Bar,+(91)-9815666278
47,Grace Food Corner,+(91)-161-4632355
48,Grand Hilton Restaurant,+(91)-9216400304
49,Amritsari Vaishno Dhaba,+(91)-9216400304
50,Gopal Ji Foods,+(91)-8872776686
51,Indo German Vaishu Dhaba,+(91)-8283806000
52,Gyan Vaishnav Dhaba,+(91)-8283806000
53,Vanjali Hotel And Restauran..,+(91)-7998200007
54,Vanjali Hotel And Restauran..,+(91)-161-5027400
55,Subhash Vaishno Dhaba,+(91)-0161-5028888
56,Hungry Point,07947072185
57,Hungry Point,07947390160
58,Chawlas 2,07947451866
59,Moti Mahal Delux,07947217182
60,Bawa Bakers & Confectioners,07947481369
61,The Tigers Kitchen,07947223335
62,Rishi Vegetarian Dhaba,07942597609
63,Grand Oriental,07947242078
64,Sher-E-Punjab,07947184575
65,Shama Chicken Dhaba,07947242403
66,Lalan Top Restaurant,07942597769
67,Baba Chicken Restaurant,07947443852
68,I Cibo 1889,07947443852
69,Sindh Punjab Dhaba,07947242098
70,Wish Barbeque,+(91)-0161-4661466
71,Sargi Bar & Restaurant,+(91)-0161-4661466
72,DK DIET & CHICKEN CORNER,07947363892
73,Hungry Mouth,07947467654
74,Hungry Mouth,+(91)-9056490049
75,Shakes & Slice,07947392041
76,Bon Gateau The European Bak..,+(91)-9501111737
77,Bon Gateau The European Bak..,+(91)-161-5027400
78,Rishi Vegetarian Dhaba,+(91)-9878790333
79,Chawla Chicken Restaurant,+(91)-9878790333
80,Parkash Dhaba,+(91)-0161-2450007
81,The Tigers Kitchen,+(91)-7009659344
82,Gopal Ji Foods,+(91)-7009659344
83,Moti Mahal Delux,+(91)-9814088445
84,S.S. Haveli Resort,+(91)-8968140225
85,S.S. Haveli Resort,+(91)-0161-5024806
86,Kipps Mart,+(91)-0161-3566489
87,Urban Rosoyiya,+(91)-161-4650465
88,Urban Rosoyiya,+(91)-161-4650465
89,V Chickn,+(91)-0161-2537192
90,Thali Junction,+(91)-0161-2720911
91,Rishi Dhaba,+(91)-0161-2720911
92,Rishi Dhaba (Since 1985),+(91)-161-2451837
93,Salsa Spice N Grill,+(91)-8069028755
94,Salsa Spice N Grill,+(91)-161-2623842
95,Meshi Vegiterian Dhaba,+(91)-9915199999
96,Friends Dhaba,+(91)-161-2459394
97,Friends Dhaba,+(91)-161-2459394
98,Aman Chicken,+(91)-9888966000
99,Barbeque Nations,07947072185
100,Ramesh Vaishnu Dhaba,07947390160
101,Spicy Hut,07947240957
102,Babas VEG & NON VEG,07947240957
103,Babas VEG & NON VEG,07947451866
104,Baba Chicken,07947481369
105,The Tigers Kitchen,07947481369
106,Rishi Vegetarian Dhaba,07947242078
107,Grand Oriental,07947184575
108,Sher-E-Punjab,07947184575
109,Lalan Top Restaurant,07947217182
110,‘See More >,07947223335
111,Sindh Punjab Dhaba,07947223335
112,Wish Barbeque,07942597769
113,Wish Barbeque,07942597609
114,Shama Chicken Dhaba,07942597609
115,Baba Chicken Restaurant,07947242403
116,Baba Chicken Restaurant,07947205565
117,DK DIET & CHICKEN CORNER,07947205565
118,I Cibo 1889,07947392041
119,I Cibo 1889,07947443852
120,Sargi Bar & Restaurant,07947443852
121,Pyramid Cafeloungebar,07947467654
122,Pyramid Cafeloungebar,07947363892
123,ers Kitchen,07947363892
124,Hungry Mouth,+(91)-0161-4661466
125,‘te Click here to view your friends rating,+(91)-9056490049
126,Chawla Chicken Restaurant,+(91)-9779595935
127,Rishi Vegetarian Dhaba,+(91)-0161-2729072
128,Bon Gateau The European Bak..,+(91)-9988500000
129,Parkash Dhaba,+(91)-161-5080808
130,Red Mango,+(91)-0161-5128194
131,Pandit Prantha Wala,+(91)-161-4619445
132,Raja Dhabha,+(91)-161-4649333
133,Hawai Adda,+(91)-0161-4647007
134,Kumaran Dosa And Fast Food,+(91)-0161-4647007
135,Pirates Of Grill,+(91)-0161-4610070
136,Basant Restaurant,+(91)-161-2412370
137,Pandit Ji De Paranthe,+(91)-161-2412370
138,Pandit Ji De Paranthe,+(91)-161-4641226
139,Yellow Chilli Restaurant,+(91)-0161-4615555
140,Lyallpur Sweets,+(91)-8729000277
141,+ Click here to view your friends rating,+(91)-9780064000
142,Bistro 226 Restaurant,+(91)-161-6676580
143,Sartaj Sweets Savouries,+(91)-161-6676580
144,Just Baked,+(91)-161-2881801
145,Raja Dhaba,+(91)-0161-5077192
146,Abiss A Family Restaurant,+(91)-0161-5077192
147,Abiss A Family Restaurant,+(91)-0161-5026565
148,Wadi Haveli Restaurant,+(91)-0161-5080084
149,Meshi Vegetarian Dhaba,07947072185
150,i —,07947390160
151,Bansi Vaishno Dhaba,07947240957
152,Bansi Pure Ve qi,07947240957
153,The Tigers Kitchen,07947451866
154,Rishi Vegetarian Dhaba,07947217182
155,Grand Oriental,07942597609
156,Sher-E-Punjab,07947223335
157,Shama Chicken Dhaba,07947481369
158,I Cibo 1889,07947242098
159,Baba Chicken Restaurant,07942597769
160,Lalan Top Restaurant,07942597769
161,Shakes & Slice,07947242078
162,DK DIET & CHICKEN CORNER,07947184575
163,DK DIET & CHICKEN CORNER,07947184575
164,Sindh Punjab Dhaba,07947443852
165,Wish Barbeque,+(91)-0161-4661466
166,Wish Barbeque,+(91)-0161-4661466
167,Hungry Mouth,07947363892
168,Bon Gateau The European Bak..,07947467654
169,Bon Gateau The European Bak..,07947467654
170,Rishi Vegetarian Dhaba,+(91)-9056490049
171,Chawla Chicken Restaurant,07947205565
172,Parkash Dhaba,+(91)-161-4062424
173,Pyramid Cafeloungebar,+(91)-0167-3399444
174,Hutea The Tea Hut,+(91)-161-4666664
175,KFC (Silver Arc Mall),+(91)-161-4666664
176,Parkash Dhaba,+(91)-7277777936
177,Parkash Dhaba,+(91)-9781000702
178,Sharman Jain Sweets,+(91)-9878580073
179,Chilli Spray,+(91)-9501061112
180,Restaurants in Ghumar Kumaran Dosa,+(91)-161-2726129
181,Goa Chowpatty,+(91)-161-4643733
182,Khushiram & Sons,+(91)-0161-4646467
183,Khushi Ram & Sons,+(91)-0161-4646467
184,7 es Chick Fi Fast Food Restaura..,+(91)-9417225773
185,Chick Fi Fast Food Restaura..,+(91)-161-2414762
186,Vipan Vegetarian,+(91)-161-5044447
187,Sagar Ratna,+(91)-161-2750000
188,B 7 Restaurant,+(91)-161-2750000
189,Chawla Vegetarian Restauran..,+(91)-161-6000005
190,Chawla Vegetarian Restauran..,07942599677
191,Dawat E Khaas,07942599677
192,Bistro Flamme Bois,+(91)-9814801212
193,ee |,07947072185
194,Hot Spicy Snacks Land Walia..,07947390160
195,The Tigers Kitchen,07947240957
196,Rishi Vegetarian Dhaba,07947240957
197,Grand Oriental,07947451866
198,Sher-E-Punjab,07947217182
199,Shama Chicken Dhaba,07942597609
200,I Cibo 1889,07947223335
201,Baba Chicken Restaurant,07947481369
202,Lalan Top Restaurant,07947242403
203,Sargi Bar & Restaurant,07947242078
204,Sindh Punjab Dhaba,07947184575
205,Wish Barbeque,07947184575
206,Wish Barbeque,07942597769
207,DK DIET & CHICKEN CORNER,07947242098
208,Shakes & Slice,07947242098
209,Shakes & Slice,07947443852
210,Hungry Mouth,+(91)-0161-4661466
211,Bon Gateau The European Bak..,+(91)-0161-4661466
212,Bon Gateau The European Bak..,07947363892
213,Rishi Vegetarian Dhaba,07947467654
214,Chawla Chicken Restaurant,07947467654
215,Parkash Dhaba,+(91)-9056490049
216,The Tigers Kitchen,07947392041
